file,author,license,origin,comment
svg/made_with_linux_gray.svg,Michael Kolesidis,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Made_with_Linux_gray.svgm,
ogg/sydney_airport_final_call.ogg,digifishmusic (https://freesound.org/people/digifishmusic/),CC BY 4.0 Deed,https://freesound.org/people/digifishmusic/sounds/118774/,cut version (first half only)
